statement,line_item,concept,period,value,units,form,accession,source_url,provenance
BS,Total liabilities & equity,LiabilitiesAndStockholdersEquity,Q/E 2024-09-30,10851383000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,Total liabilities & equity,LiabilitiesAndStockholdersEquity,Q/E 2024-12-31,9728348000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,Total liabilities & equity,LiabilitiesAndStockholdersEquity,Q/E 2025-03-31,10738525000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,Total liabilities & equity,LiabilitiesAndStockholdersEquity,Q/E 2025-09-30,14386037000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,Total liabilities & equity,LiabilitiesAndStockholdersEquity,Q/E 2025-12-31,28001610000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,Total liabilities & equity,LiabilitiesAndStockholdersEquity,Q/E 2026-03-31,23452029000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,Total current liabilities,LiabilitiesCurrent,FY2023,1374652000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,Total current liabilities,LiabilitiesCurrent,FY2024,2345721000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,Total current liabilities,LiabilitiesCurrent,FY2025,2344792000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,Total current liabilities,LiabilitiesCurrent,Q/E 2024-09-30,2871101000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,Total current liabilities,LiabilitiesCurrent,Q/E 2024-12-31,1357810000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,Total current liabilities,LiabilitiesCurrent,Q/E 2025-03-31,1428136000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,Total current liabilities,LiabilitiesCurrent,Q/E 2025-09-30,2347235000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,Total current liabilities,LiabilitiesCurrent,Q/E 2025-12-31,15396708000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,Total current liabilities,LiabilitiesCurrent,Q/E 2026-03-31,8122635000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,"Long-term debt, noncurrent",LongTermDebtNoncurrent,FY2023,120179000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,Prepaid & other current assets,PrepaidExpenseAndOtherAssetsCurrent,FY2023,145144000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,Prepaid & other current assets,PrepaidExpenseAndOtherAssetsCurrent,FY2024,191834000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,Prepaid & other current assets,PrepaidExpenseAndOtherAssetsCurrent,FY2025,247426000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,Prepaid & other current assets,PrepaidExpenseAndOtherAssetsCurrent,Q/E 2024-09-30,100503000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,Prepaid & other current assets,PrepaidExpenseAndOtherAssetsCurrent,Q/E 2024-12-31,581413000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,Prepaid & other current assets,PrepaidExpenseAndOtherAssetsCurrent,Q/E 2025-03-31,464689000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,Prepaid & other current assets,PrepaidExpenseAndOtherAssetsCurrent,Q/E 2025-09-30,209426000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,Prepaid & other current assets,PrepaidExpenseAndOtherAssetsCurrent,Q/E 2025-12-31,433944000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
